Replace Part ANT1 2195852-1 in C:\Users\48570\Desktop\altium\PBL4\PCB_Project\PBL44_Sch.SchDoc with 2195852-1 from Antena.SchLib
Update Managed Component C1 From CMP-08246-000007-2[] To CMP-08246-000007-2[C2012X5R1H475K125AB] in PBL44_Sch.SchDoc
Update Managed Component C2 From CMP-08246-000007-2[] To CMP-08246-000007-2[C2012X5R1H475K125AB] in PBL44_Sch.SchDoc
Update Managed Component C3 From CMP-2007-03243-2[] To CMP-2007-03243-2[C0805C106K8PACTU] in PBL44_Sch.SchDoc
Update Managed Component C4 From CMP-2007-03243-2[] To CMP-2007-03243-2[C0805C106K8PACTU] in PBL44_Sch.SchDoc
Update Managed Component C5 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C6 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C7 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C8 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C9 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C10 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C11 From CMP-2006-04378-2[06035C102KAT2A] To CMP-2006-04378-2[06035C102KAT2A] in PBL44_Sch.SchDoc
Update Managed Component C12 From CMP-2006-04378-2[06035C102KAT2A] To CMP-2006-04378-2[06035C102KAT2A] in PBL44_Sch.SchDoc
Update Managed Component C13 From CMP-2006-04378-2[06035C102KAT2A] To CMP-2006-04378-2[06035C102KAT2A] in PBL44_Sch.SchDoc
Update Managed Component C14 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C15 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C16 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C17 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C18 From CMP-03020-014281-1[C0805C101J1GACTU] To CMP-03020-014281-1[C0805C101J1GACTU] in PBL44_Sch.SchDoc
Update Managed Component C19 From CMP-2006-03061-2[C0603C104K5RACTU] To CMP-2006-03061-2[C0603C104K5RACTU] in PBL44_Sch.SchDoc
Update Managed Component C20 From CMP-2006-04640-1[06035J8R2BBSTR] To CMP-2006-04640-1[06035J8R2BBSTR] in PBL44_Sch.SchDoc
Update Managed Component C21 From CMP-2007-03243-2[] To CMP-2007-03243-2[C0805C106K8PACTU] in PBL44_Sch.SchDoc
Update Managed Component C22 From CMP-08246-000007-2[] To CMP-08246-000007-2[C2012X5R1H475K125AB] in PBL44_Sch.SchDoc
Update Managed Component C23 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C24 From CMP-2006-03036-2[C0603C103K1RACTU] To CMP-2006-03036-2[C0603C103K1RACTU] in PBL44_Sch.SchDoc
Update Managed Component C25 From CMP-1036-01631-3[C0805C470J1GACTU] To CMP-1036-01631-3[C0805C470J1GACTU] in PBL44_Sch.SchDoc
